"time","ticket","race","sex","speed","limit","state","modelyear","percentover"
1010,1,"W","M",78,65,"NJ",96,20
1340,1,"W","M",76,65,"MA",92,16.92
651,1,"W","M",81,65,"MD",95,24.62
1039,1,"B","M",81,65,"NY",97,24.62
1016,1,"W","M",85,65,"PA",84,30.77
1029,1,"W","M",84,65,"NJ",87,29.23
1035,1,"W","M",81,65,"NJ",96,24.62
1043,1,"W","M",79,65,"NJ",94,21.54
1051,1,"W","F",80,65,"NJ",94,23.08
1133,1,"W","M",80,65,"NJ",89,23.08
1231,1,"W","M",98,65,"NJ",97,50.77
1239,1,"W","M",80,65,"NC",95,23.08
1955,1,"W","F",92,65,"VA",97,41.54
2030,1,"B","M",85,55,"NY",92,54.55
1004,1,"W","M",77,65,"MD",94,18.46
1016,1,"W","M",81,65,"FL",90,24.62
1029,1,"W","F",76,65,"NJ",90,16.92
1048,1,"B","M",86,65,"MD",87,32.31
1105,1,"W","M",90,65,"VA",94,38.46
1118,1,"W","M",77,65,"PA",84,18.46
805,1,"W","M",79,65,"MD",96,21.54
715,1,"W","M",74,65,"DE",94,13.85
1047,1,"W","M",77,65,"NJ",92,18.46
1143,1,"W","M",83,65,"PA",94,27.69
1328,1,"W","M",85,65,"NY",86,30.77
1203,1,"B","M",76,65,"DE",97,16.92
755,1,"W","F",79,65,"VA",96,21.54
805,1,"W","M",77,65,"NJ",90,18.46
935,1,"W","M",77,65,"DE",91,18.46
950,1,"W","M",84,65,"NY",95,29.23
1013,1,"W","M",79,65,"PA",97,21.54
806,1,"W","M",79,65,"NY",96,21.54
906,1,"W","M",78,65,"PA",85,20
926,1,"W","M",76,65,"NJ",92,16.92
933,1,"W","M",78,65,"NY",92,20
943,1,"W","M",80,65,"NJ",96,23.08
950,1,"W","M",79,65,"PA",95,21.54
959,1,"W","M",78,65,"NC",97,20
1009,1,"W","M",79,65,"DC",95,21.54
1117,1,"W","F",82,65,"VA",84,26.15
2013,1,"W","F",58,45,"MD",95,28.89
2117,1,"W","M",55,40,"PA",96,37.5
2035,1,"W","M",57,45,"MD",95,26.67
1750,1,"W","M",79,65,"NJ",93,21.54
1708,1,"B","F",79,65,"MD",96,21.54
2100,1,"W","M",81,65,"NY",81,24.62
2100,1,"W","M",84,65,"VA",93,29.23
2145,1,"B","M",84,65,"MD",94,29.23
2220,1,"B","M",80,65,"PA",97,23.08
200,1,"W","F",84,65,"NJ",86,29.23
255,1,"W","F",84,65,"MI",89,29.23
445,1,"B","M",78,65,"MD",97,20
1947,1,"W","M",59,45,"MD",93,31.11
2000,1,"W","M",57,45,"MD",89,26.67
2050,1,"W","M",80,65,"NJ",87,23.08
321,1,"W","M",79,65,"NJ",96,21.54
533,1,"B","M",84,65,"NC",96,29.23
2324,1,"W","M",75,65,"NY",95,15.38
1402,1,"W","M",71,55,"NY",85,29.09
1421,1,"W","M",71,55,"MD",91,29.09
1035,1,"W","M",77,65,"PA",96,18.46
1121,1,"W","M",79,65,"PA",97,21.54
2340,1,"W","M",78,65,"VA",89,20
907,1,"B","M",77,65,"CT",90,18.46
920,1,"B","F",77,65,"SC",95,18.46
944,1,"W","M",76,65,"NJ",97,16.92
1010,1,"W","F",76,65,"NJ",95,16.92
1020,1,"W","M",76,65,"PA",96,16.92
1144,1,"W","M",76,65,"NC",96,16.92
2230,1,"B","M",90,65,"NY",92,38.46
1100,1,"W","F",75,65,"NT",92,15.38
2344,1,"B","M",84,65,"DE",96,29.23
2240,1,"B","M",77,65,"NY",86,18.46
2247,1,"W","F",77,65,"VA",88,18.46
2256,1,"B","F",77,65,"NJ",92,18.46
753,1,"W","M",77,65,"PA",86,18.46
807,1,"B","M",83,65,"MA",96,27.69
1446,1,"W","M",85,65,"VA",93,30.77
1829,1,"B","M",93,65,"PA",92,43.08
1838,1,"W","F",90,65,"AL",97,38.46
1633,1,"B","M",87,65,"NJ",96,33.85
106,1,"W","M",84,65,"DE",86,29.23
140,1,"B","M",83,65,"PA",97,27.69
200,1,"B","M",84,65,"NY",88,29.23
430,1,"B","M",75,65,"NY",92,15.38
2325,1,"B","F",84,65,"NY",97,29.23
1629,1,"B","M",74,65,"NJ",94,13.85
1640,1,"B","F",74,65,"PA",97,13.85
1741,1,"B","F",83,65,"PA",92,27.69
557,1,"W","M",91,65,"MD",88,40
1817,1,"W","M",79,65,"NY",90,21.54
1857,1,"B","M",74,65,"NY",93,13.85
1922,1,"B","M",77,65,"PA",92,18.46
1938,1,"W","M",78,65,"NJ",90,20
1944,1,"W","M",79,65,"MD",88,21.54
2001,1,"W","M",78,65,"CT",86,20
6,1,"W","F",86,65,"MD",95,32.31
113,1,"W","M",86,65,"NY",87,32.31
206,1,"B","M",88,65,"VA",92,35.38
803,1,"W","F",80,65,"DC",96,23.08
824,1,"W","F",79,65,"PA",95,21.54
902,1,"W","F",82,65,"FL",90,26.15
1115,1,"W","M",74,65,"MD",92,13.85
1216,1,"W","M",74,65,"NY",94,13.85
1230,1,"W","F",81,65,"PA",94,24.62
1254,1,"B","F",79,65,"TN",94,21.54
1345,1,"B","M",81,65,"MD",93,24.62
1427,1,"W","F",80,65,"NY",93,23.08
1458,1,"W","F",74,65,"NJ",97,13.85
1629,1,"W","F",71,65,"DC",94,9.23
1725,1,"W","F",81,65,"PA",96,24.62
1738,1,"B","M",78,65,"MD",94,20
1747,1,"W","M",77,65,"NC",93,18.46
1812,1,"W","M",77,65,"PA",94,18.46
1840,1,"W","M",76,65,"PA",91,16.92
230,1,"W","F",65,55,"MD",93,18.18
1900,1,"B","F",78,65,"NY",87,20
732,1,"B","F",84,65,"NJ",97,29.23
1421,1,"W","F",87,65,"NY",95,33.85
1603,1,"B","M",88,65,"NY",97,35.38
1128,1,"B","F",85,65,"MD",94,30.77
