DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Eugene OR,OR,West,48.4,40.87,no,CFB,15,Oregon
Eureka CA,CA,West,59.4,34.44,yes,CFB,4,California
Evansville IN,IN,North Central,51.7,65.84,yes,CFB,5,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,CFB,6,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,CFB,9,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,CFB,11,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,CFB,4,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,CFB,8,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,CFB,16,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,CFB,7,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,CFB,19,Florida
Glendive MT,MT,West,42.7,77.21,no,CFB,4,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,CFB,6,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,CFB,10,Michigan
Great Falls MT,MT,West,42.7,59.38,no,CFB,6,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,CFB,5,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,CFB,7,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,CFB,9,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,CFB,17,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,CFB,12,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,CFB,4,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,CFB,6,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,CFB,7,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,CFB,4,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,CFB,20,Mississippi
Helena MT,MT,West,42.7,51.48,no,CFB,8,Montana
Honolulu HI,HI,West,70,30.04,no,CFB,8,Hawaii
Houston TX,TX,South,64.8,49.76,yes,CFB,8,Texas
Huntsville-Decatur (Florence) AL,AL,South,62.8,67.73,no,CFB,27,Alabama
Idaho Falls-Pocatello ID,ID,West,44.4,58.14,no,CFB,9,Idaho
Indianapolis IN,IN,North Central,51.7,54.95,yes,CFB,6,Indiana
Jackson MS,MS,South,63.4,49.42,no,CFB,15,Mississippi
Jackson TN,TN,South,57.6,68,yes,CFB,13,Tennessee
Jacksonville FL,FL,South,70.7,58.92,yes,CFB,13,Florida
Johnstown-Altoona PA,PA,Northeast,48.8,66.3,yes,CFB,9,Pennsylvania
Jonesboro AR,AR,South,60.4,68.79,no,CFB,14,Arkansas
Joplin MO-Pittsburg KS,KS,North Central,54.3,72.57,no,CFB,8,Kansas
Kansas City MO,MO,North Central,54.5,49.73,yes,CFB,6,Missouri
Knoxville TN,TN,South,57.6,70.6,yes,CFB,17,Tennessee
La Crosse-Eau Claire WI,WI,North Central,43.1,49.37,yes,CFB,5,Wisconsin
Lafayette IN,IN,North Central,51.7,51.7,yes,CFB,7,Indiana
Lafayette LA,LA,South,66.4,66.55,yes,CFB,13,Louisiana
Lake Charles LA,LA,South,66.4,68.47,yes,CFB,12,Louisiana
Lansing MI,MI,North Central,44.4,46.28,yes,CFB,11,Michigan
Laredo TX,TX,South,64.8,23.28,yes,CFB,3,Texas
Las Vegas NV,NV,West,49.9,42.47,no,CFB,6,Nevada
Lexington KY,KY,South,55.6,63.82,no,CFB,7,Kentucky
Lima OH,OH,North Central,50.7,72.08,yes,CFB,14,Ohio
Lincoln & Hastings-Kearney NE,NE,North Central,48.8,63.22,no,CFB,20,Nebraska
Little Rock-Pine Bluff AR,AR,South,60.4,58.17,no,CFB,13,Arkansas
Los Angeles CA,CA,West,59.4,31.7,yes,CFB,5,California
Louisville KY,KY,South,55.6,54.68,no,CFB,9,Kentucky
Lubbock TX,TX,South,64.8,69.69,yes,CFB,12,Texas
Macon GA,GA,South,63.5,54.2,yes,CFB,14,Georgia
Madison WI,WI,North Central,43.1,32.97,yes,CFB,8,Wisconsin
Mankato MN,MN,North Central,41.2,54.38,yes,CFB,4,Minnesota
Marquette MI,MI,North Central,44.4,55.34,yes,CFB,5,Michigan
Medford-Klamath Falls OR,OR,West,48.4,55.46,no,CFB,10,Oregon
Memphis TN,TN,South,57.6,47.36,yes,CFB,11,Tennessee
Meridian MS,MS,South,63.4,58.93,no,CFB,17,Mississippi
