wage,age,education,marital,industry,health,hours,education_level
65000,27,13,married,installation_production,good,40,some_college
3.00E+05,61,20,married,management,very_good,60,professional_phd
32021,28,13,single,construction,very_good,40,some_college
680000,48,10,married,installation_production,excellent,6,some_HS
0,64,16,married,service,excellent,10,bachelors
30000,59,14,married,service,very_good,40,associate
40000,41,12,married,service,very_good,40,HS
14000,34,14,married,management,very_good,24,associate
43000,39,13,married,service,excellent,45,some_college
116000,33,16,married,management,excellent,40,bachelors
21000,29,13,married,construction,fair,40,some_college
88000,58,18,married,management,good,40,masters
70000,51,12,single,transportation,excellent,40,HS
60000,25,13,single,service,good,40,some_college
25000,24,12,single,service,excellent,30,HS
13000,58,12,married,service,excellent,40,HS
13000,55,12,married,service,good,15,HS
9000,66,9,married,service,good,26,some_HS
135000,63,16,married,management,excellent,40,bachelors
78394,47,14,single,service,excellent,40,associate
50000,23,13,single,installation_production,good,40,some_college
40000,31,12,single,transportation,excellent,40,HS
11000,29,16,married,service,very_good,20,bachelors
0,44,16,married,management,very_good,40,bachelors
39000,38,13,married,construction,good,40,some_college
74000,57,12,single,service,excellent,40,HS
94000,39,12,married,management,very_good,40,HS
0,32,11,single,construction,good,50,some_HS
15000,24,12,single,service,excellent,40,HS
50500,36,12,single,installation_production,fair,40,HS
27000,26,16,married,management,excellent,40,bachelors
2.00E+05,45,16,married,service,excellent,40,bachelors
50000,46,14,married,management,very_good,40,associate
35000,45,18,married,management,very_good,40,masters
60120,33,12,married,transportation,good,40,HS
50000,59,14,single,management,excellent,50,associate
44000,41,10,single,installation_production,excellent,40,some_HS
75000,49,16,single,management,excellent,70,bachelors
45000,45,12,single,installation_production,poor,50,HS
61000,36,13,married,service,excellent,40,some_college
10000,27,13,single,service,good,15,some_college
2.00E+05,70,12,married,management,very_good,50,HS
26000,46,14,married,installation_production,very_good,40,associate
65000,35,14,married,service,very_good,40,associate
38000,54,12,married,management,very_good,40,HS
40000,30,16,single,management,excellent,40,bachelors
15000,45,11,married,service,excellent,40,some_HS
12000,30,12,single,service,very_good,40,HS
64000,74,12,single,management,very_good,50,HS
0,85,20,married,service,good,30,professional_phd
0,60,16,married,management,very_good,70,bachelors
35000,40,13,married,installation_production,excellent,40,some_college
190000,55,16,married,management,very_good,55,bachelors
31000,67,12,married,service,poor,40,HS
70000,53,18,married,management,excellent,40,masters
120000,47,16,married,management,excellent,40,bachelors
30000,49,20,married,service,good,48,professional_phd
30000,38,12,single,transportation,excellent,40,HS
25207,29,16,married,transportation,excellent,35,bachelors
18586,80,14,married,service,excellent,32,associate
12002,61,13,married,service,very_good,60,some_college
12000,51,11,single,service,good,40,some_HS
67000,46,12,married,transportation,very_good,50,HS
18000,19,13,single,service,very_good,24,some_college
25000,45,12,married,service,excellent,40,HS
20000,49,16,married,service,fair,30,bachelors
0,46,11,single,service,good,20,some_HS
45000,43,16,married,service,good,40,bachelors
50000,43,18,married,management,excellent,40,masters
80000,57,16,married,management,good,40,bachelors
52000,31,16,married,management,excellent,40,bachelors
5000,24,13,single,service,excellent,29,some_college
52750,46,14,married,service,very_good,35,associate
35000,42,13,married,installation_production,good,40,some_college
45000,47,12,married,installation_production,good,40,HS
44001,52,18,married,management,very_good,40,masters
60000,36,16,married,service,excellent,40,bachelors
27000,49,14,married,service,fair,38,associate
36200,32,12,single,service,very_good,15,HS
35000,33,12,single,management,good,40,HS
45000,47,13,single,management,very_good,40,some_college
120000,55,13,single,service,very_good,60,some_college
0,24,16,single,management,very_good,40,bachelors
15000,53,12,single,service,fair,25,HS
120000,49,12,single,management,excellent,40,HS
0,64,13,married,service,very_good,12,some_college
32000,30,16,single,service,excellent,40,bachelors
42000,28,12,married,construction,good,40,HS
70000,70,13,married,management,good,40,some_college
16000,38,12,married,service,good,45,HS
25000,37,12,married,installation_production,good,45,HS
30000,47,14,single,transportation,good,40,associate
0,67,18,married,management,excellent,40,masters
32000,33,13,single,service,excellent,40,some_college
16000,45,13,married,service,good,40,some_college
32000,54,12,single,service,excellent,50,HS
37000,43,18,married,management,very_good,55,masters
14000,48,9,single,transportation,very_good,40,some_HS
39000,37,13,single,management,excellent,44,some_college
26000,56,13,married,service,good,40,some_college
65000,59,13,married,service,very_good,40,some_college
62400,48,13,single,installation_production,good,40,some_college
56000,31,16,single,management,very_good,40,bachelors
40000,38,13,married,transportation,good,40,some_college
80500,42,14,married,management,very_good,40,associate
30160,66,16,married,service,good,40,bachelors
41000,63,12,single,service,good,40,HS
1.00E+05,40,16,married,management,good,40,bachelors
35000,46,14,married,management,fair,40,associate
189522,64,18,married,management,good,40,masters
132000,39,16,single,service,good,40,bachelors
3800,18,11,single,service,excellent,9,some_HS
78000,43,13,married,transportation,excellent,40,some_college
82000,30,16,married,management,excellent,40,bachelors
40000,54,5.5,married,transportation,good,40,less_than_HS
45000,38,16,married,management,excellent,40,bachelors
1.00E+05,53,13,married,installation_production,good,40,some_college
52,56,12,married,installation_production,excellent,40,HS
1.00E+05,52,18,married,management,very_good,40,masters
70000,42,16,married,management,good,40,bachelors
65000,62,18,single,management,good,38,masters
50000,34,16,married,management,excellent,35,bachelors
17000,20,12,single,service,excellent,30,HS
55000,63,12,single,service,good,45,HS
56000,29,20,married,management,very_good,60,professional_phd
120000,42,18,married,management,excellent,40,masters
15000,73,16,married,transportation,excellent,24,bachelors
1.00E+05,51,16,single,management,very_good,40,bachelors
35000,60,12,married,service,good,20,HS
